Time,Error
18.294216,5.0
18.313957,5.0
18.333604,5.0
18.353826,5.0
18.374031,5.0
18.393721,5.0
18.412924,5.0
18.433652,5.0
18.453799,5.0
18.473753,5.0
18.493693,5.0
18.513685,5.0
18.533665,5.0
18.553491,5.0
18.574431,5.0
18.594921,5.0
18.613811,5.0
18.633808,5.0
18.653731,5.0
18.673764,5.0
18.693534,5.0
18.713551,5.0
18.734533,5.0
18.753383,5.0
18.774462,5.0
18.794235,5.0
18.813412,5.0
18.83418,5.0
18.854441,5.0
18.873918,5.0
18.893869,5.0
18.913842,5.0
18.933762,5.0
18.953711,5.0
18.973665,5.0
18.99356,5.0
19.014048,5.0
19.034026,5.0
19.053992,5.0
19.073066,5.0
19.093216,5.0
19.114196,5.0
19.134157,5.0
19.154108,5.0
19.173983,5.0
19.193923,5.0
19.213736,5.0
19.233651,5.0
19.253601,5.0
19.274622,5.0
19.293525,5.0
19.314309,5.0
19.334435,5.0
19.354368,5.0
19.374072,5.0
19.393316,5.0
19.413635,5.0
19.433652,5.0
19.453558,5.0
19.474486,5.0
19.494427,5.0
19.51407,5.0
19.534146,5.0
19.553331,5.0
19.574167,5.0
19.593889,5.0
19.612973,5.0
19.633892,5.0
19.653141,5.0
19.674003,5.0
19.693767,5.0
19.713544,5.0
19.733547,5.0
19.75444,5.0
19.774462,5.0
19.794389,5.0
19.814261,5.0
19.833539,5.0
19.854242,5.0
19.874135,5.0
19.893342,5.0
19.913787,5.0
19.933744,5.0
19.953661,5.0
19.973589,5.0
19.993524,5.0
20.014196,5.0
20.033387,5.0
20.054308,5.0
20.073937,5.0
20.093187,5.0
20.113739,5.0
20.133555,5.0
20.154489,5.0
20.174429,5.0
20.194322,5.0
20.214075,5.0
20.233293,5.0
20.254146,5.0
20.274131,5.0
20.294025,5.0
20.313112,5.0
20.334298,5.0
20.354229,5.0
20.373917,5.0
20.393148,5.0
20.413652,5.0
20.434019,5.0
20.453948,5.0
20.473701,5.0
20.492852,5.0
20.513647,5.0
20.533739,5.0
20.553701,5.0
20.573641,5.0
20.593321,5.0
20.613608,5.0
20.633814,5.0
20.653678,5.0
20.67347,5.0
20.69426,5.0
20.713987,5.0
20.733489,5.0
20.754226,5.0
20.773193,5.0
20.794121,5.0
20.813544,5.0
20.833477,5.0
20.854452,5.0
20.874103,5.0
20.89327,5.0
20.913941,5.0
20.933166,5.0
20.953964,5.0
20.973807,5.0
20.993663,5.0
21.012913,5.0
21.03387,5.0
21.05386,5.0
21.073616,5.0
21.093777,5.0
21.113314,5.0
21.134135,5.0
21.153296,5.0
21.174249,5.0
21.193929,5.0
21.213359,5.0
21.233296,5.0
21.254277,5.0
21.273914,5.0
21.293171,5.0
21.313833,5.0
21.334006,5.0
21.354017,5.0
21.373928,5.0
21.393865,5.0
21.4135,5.0
21.433666,5.0
21.453622,5.0
21.473605,5.0
21.493556,5.0
21.514495,5.0
21.534506,5.0
21.55442,5.0
21.574076,5.0
21.593928,5.0
21.613123,5.0
21.634047,5.0
21.653891,5.0
21.673989,5.0
21.693916,5.0
21.71386,5.0
21.733165,5.0
21.753771,5.0
21.773034,5.0
21.793668,5.0
21.813014,5.0
21.83366,5.0
21.852932,5.0
21.873823,5.0
21.893763,5.0
21.912978,5.0
21.933963,5.0
21.95393,5.0
21.973573,5.0
21.993491,5.0
22.014092,5.0
22.034062,5.0
22.053924,5.0
22.073902,5.0
22.092869,5.0
22.113409,5.0
22.133587,5.0
22.1546,5.0
22.173552,5.0
22.193257,5.0
22.213613,5.0
22.234847,5.0
22.253741,5.0
22.273453,5.0
22.29439,5.0
22.313397,5.0
22.334399,5.0
22.353571,5.0
22.374566,5.0
22.393578,5.0
22.413218,5.0
22.433422,5.0
22.454071,5.0
22.473284,5.0
22.494046,5.0
22.513435,5.0
22.533676,5.0
22.553529,5.0
22.574541,5.0
22.5942,5.0
22.61443,5.0
22.634103,5.0
22.654249,5.0
22.674021,5.0
22.693915,5.0
22.713498,5.0
22.73468,5.0
22.753584,5.0
22.774389,5.0
22.793549,5.0
22.814273,5.0
22.834186,5.0
22.853318,5.0
22.873306,5.0
22.894313,5.0
22.91365,5.0
22.933609,5.0
22.953547,5.0
22.974291,5.0
22.99351,5.0
23.014274,5.0
23.034184,5.0
23.053395,5.0
23.074052,5.0
